"Manuscript H-ID","Manuscript Record Title","Holding Institution H-ID","Holding Institution Record Title","Holding Institution Record Title","Call number","IIIF Manifest Link(s)"
15611,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek, Ms. 67",189,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Ms. 67",https://digital.dombibliothek-koeln.de/hs/i3f/v20/221601/manifest
15612,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek, Ms. 69",189,"Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Cologne, Erzbischöfliche Diözesan- und Dombibliothek","Ms. 69",https://digital.dombibliothek-koeln.de/hs/i3f/v20/223732/manifest
15636,"Arras, Bibliothèque de la Ville, 742",23,"Arras, Bibliothèque de la Ville","Arras, Bibliothèque de la Ville",742,https://api.irht.cnrs.fr/ark:/63955/fr1dgmfio4zw/manifest.json
15639,"Deventer, Athenaeumbibliotheek, 10 T 3 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","10 T 3 KL",https://athenaeumcollecties.nl/collecties/topstukken/manifest/2bb2f476-2986-b142-4f07-67d5969f1a92
15640,"Deventer, Athenaeumbibliotheek, 10 V 2 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","10 V 2 KL",https://athenaeumcollecties.nl/collecties/gedigitaliseerde-collecties/manifest/c54bb995-3c88-1ca1-98ad-34387d1c0b7b
15641,"Deventer, Athenaeumbibliotheek, 101 A 34 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 A 34 KL",https://athenaeumcollecties.nl/collecties/gedigitaliseerde-collecties/manifest/a2cf9dd3-a644-74c0-1a21-271e8611e091
15642,"Deventer, Athenaeumbibliotheek, 101 D 12 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 D 12 KL",https://athenaeumcollecties.nl/collecties/gedigitaliseerde-collecties/manifest/4327916c-3247-003c-f107-10047437a600
15643,"Deventer, Athenaeumbibliotheek, 101 D 13 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 D 13 KL",https://athenaeumcollecties.nl/collecties/gedigitaliseerde-collecties/manifest/0bca62d8-3487-11e6-9948-6f0eb4ea074d|https://access.ecodices.nl/iiif/presentation/ABD_101_D_13_KL/manifest?manifest=https://access.ecodices.nl/iiif/presentation/ABD_101_D_13_KL/manifest
15644,"Deventer, Athenaeumbibliotheek, 101 D 14 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 D 14 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0bca62d8-3487-11e6-9948-6f0eb4ea074d
15645,"Deventer, Athenaeumbibliotheek, 101 D 4 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 D 4 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/00e06d35-77bb-a3b3-d9e9-0662579b7a31
15646,"Deventer, Athenaeumbibliotheek, 101 D 6 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 D 6 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/581b1c37-3324-3aff-86f9-9e48e117974a
15648,"Deventer, Athenaeumbibliotheek, 101 D 9 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 D 9 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/fb500435-067e-def5-cc26-287f1d5b0f03
15649,"Deventer, Athenaeumbibliotheek, 101 E 1 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 E 1 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/542ca631-f0f3-92fa-0a65-a3b070496f87
15650,"Deventer, Athenaeumbibliotheek, 101 E 11 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 E 11 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0e129422-bd4d-29d9-1244-0eb179e1bcb7
15651,"Deventer, Athenaeumbibliotheek, 101 E 12 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 E 12 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/3e2c03f9-ba52-980d-04e7-ec9fa2d14511
15652,"Deventer, Athenaeumbibliotheek, 101 E 17 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 E 17 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0bc26998-3487-11e6-b74e-17808c039aa8
15653,"Deventer, Athenaeumbibliotheek, 101 E 26 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 E 26 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0be4351e-3487-11e6-9603-b3eb7ac8b442
15654,"Deventer, Athenaeumbibliotheek, 101 E 4 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 E 4 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0834818a-a693-6646-cb3c-f48a7d9ba230
15655,"Deventer, Athenaeumbibliotheek, 101 F 15 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 F 15 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0bc55176-3487-11e6-becd-ff135dfa434d
15657,"Deventer, Athenaeumbibliotheek, 101 F 17 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 F 17 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/a35d2ac2-9ae4-d6c9-40e8-8a54745f86bd
15659,"Deventer, Athenaeumbibliotheek, 101 F 2 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 F 2 KL",https://access.ecodices.nl/iiif/presentation/ABD_101_F_2_KL/manifest?manifest=https://access.ecodices.nl/iiif/presentation/ABD_101_F_2_KL/manifest
15660,"Deventer, Athenaeumbibliotheek, 101 F 25 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 F 25 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0be4fa58-3487-11e6-97b2-6b087bd35c67
15661,"Deventer, Athenaeumbibliotheek, 101 F 3 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 F 3 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/d93c37d8-c3d6-69d5-7a8f-cace40b2c59b
15662,"Deventer, Athenaeumbibliotheek, 101 F 5 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 F 5 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/0bc6add2-3487-11e6-9095-0fb6f2482b8d
15663,"Deventer, Athenaeumbibliotheek, 101 F 7 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","101 F 7 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/4f3028dd-2b67-e328-392c-05de31393900
15664,"Deventer, Athenaeumbibliotheek, 11 F 3 KL",142,"Deventer, Athenaeumbibliotheek","Deventer, Athenaeumbibliotheek","11 F 3 KL",https://athenaeumcollecties.nl/middeleeuwse-handschriften-tot-1601/manifest/7fc50aed-1cc1-fdad-ec3f-c3c0b9ec040f
15666,"Karlsruhe, Badische Landesbibliothek, Donaueschingen 365",187,"Karlsruhe, Badische Landesbibliothek","Karlsruhe, Badische Landesbibliothek","Donaueschingen 365",https://digital.blb-karlsruhe.de/i3f/v20/971570/manifest
15670,"Dublin, Trinity College, Ms.81",145,"Dublin, Trinity College","Dublin, Trinity College",Ms.81,https://digitalcollections.tcd.ie/concern/works/q524jr802/manifest?manifest=https://digitalcollections.tcd.ie/concern/works/q524jr802/manifest
15673,"Düsseldorf, Universitäts- und Landesbibliothek, B 42",147,"Düsseldorf, Universitäts- und Landesbibliothek","Düsseldorf, Universitäts- und Landesbibliothek","B 42",https://digital.ulb.hhu.de/i3f/v20/5177781/manifest
15675,"Düsseldorf, Universitäts- und Landesbibliothek, Ms.D 9",147,"Düsseldorf, Universitäts- und Landesbibliothek","Düsseldorf, Universitäts- und Landesbibliothek","Ms.D 9",https://digital.ulb.hhu.de/i3f/v20/2822217/manifest
15687,"Einsiedeln, Stiftsbibliothek, Ms. 671 (655)",148,"Einsiedeln, Stiftsbibliothek","Einsiedeln, Stiftsbibliothek","Ms. 671 (655)",https://www.e-codices.ch/metadata/iiif/sbe-0671/manifest.json
