institution,latitude,longitude,count
"San Raphael (CA), Dominican Collection Library",37.9855379,-122.5175265,1
"Sarnen, Kollegiumsarchiv",46.8959313,8.2456758,4
"Scheyern, Bif.of the Benedictine Monastery",48.4995455,11.4531277,2
"Siena, Biblioteca Comunale",43.3206728,11.3296877,1
"Solothurn, Zentralbibliothek",47.2098872,7.5296365,1
"St. Paul im Lavanttal, Archiv des Benediktinerstifts St. Paul",46.7005546,14.8731751,2
"St.Gallen, Stiftsbibliothek",47.4227699,9.3769843,28
"Stockholm, Kungliga Biblioteket",59.3381337,18.0720786,16
"Strasbourg, A Depositum Austausch Baden",48.5734053,7.7521113,2
"Strasbourg, Bibliothèque du Grand Séminaire",48.5825323,7.7520188,1
"Strasbourg, Bibliothèque universitaire",48.5734053,7.7521113,7
"Stuttgart, Württembergische Landesbibliothek",48.7777438,9.1849992,48
The Archives of the Duke of Northumberland at Alnwick Castle,55.4155828,-1.7059204,1
The Hague,52.0704978,4.3006999,4
"The Hague, National Library of the Netherlands",52.0809988,4.3279921,20
"Torino, biblitohèque municipale",45.0703155,7.6868552,1
"Trier, Stadtbibliothek",49.751547,6.641294,6
"Trogen, Kantonsbibliothek",47.4078753,9.4647144,2
"Tübingen, Universitätsbibliothek
",48.5252713,9.061971,1
"Überlingen, Leopold-Sophien-Bibliothek",47.7676272,9.1590451,8
Unknown,,,18
"Uppsala, Universitetsbibliotek",59.8585638,17.6389267,5
"Utrecht, Bibliotheek der Rijksuniversiteit",52.0919255,5.1229572,3
"Utrecht, Musée central",52.083748,5.12591,1
"Utrecht, Rijksmuseum Het Catharijneconvent",52.0872889,5.1239194,5
"Vatican, Biblioteca Apostolica Vaticana",41.9047722,12.4549549,5
"Verona, Biblioteca civica",45.441216,10.9993004,1
"Verona, Biblioteca della Comunità Ebraica",45.4420577,10.9970573,1
"Vienna, Österreichischen Nationalbibliothek",48.2062609,16.3668953,10
"Vienna, Schottenkloster",48.2119707,16.3654266,1
"Volterra, Biblioteca Guarnacci",43.4010725,10.8637442,6
Vorau Stiftsbibliothek,47.4055992,15.8871066,5
"Weert, Provinciaal Archief Minderbroeders",51.2439415,5.7142222,4
Wienhausen convent archive,52.5775163,10.1854141,3
"Wienhausen, Ev. Damenstift Kloster Wienhausen",52.5775163,10.1854141,1
"Wiesbaden, Hessische Landesbibliothek",50.0778795,8.2373948,1
"Wil, Dominikarinnenkloster St. Katharina",47.4652762,9.0504143,29
"Wolfenbüttel, Herzog August Bibliothek",52.1643334,10.5302986,65
Würzburg Universitätsbibliothek,49.7825463,9.9687996,13
"Zurich, Zentralbibliothek",47.3741381,8.5449067,1
